,Instrument,Country of Headquarters,Region of Headquarters,NAICS National Industry Name,NAICS Industry Group Name,NAICS Sector Name,GICS Sub-Industry Name,GICS Industry Name,ICB Industry name,ICB Sector name,GICS Industry Group Name,SIC Industry Name,TRBC Industry Name,TRBC Industry Group Name,TRBC Business Sector Name,TRBC Economic Sector Name,TSE33 Main sector name,NAICS Subsector Name,key
0,DK0010244508,Denmark,Europe,Deep Sea Freight Transportation,"Deep Sea, Coastal, and Great Lakes Water Transportation",Transportation and Warehousing,Marine,Marine,Industrials,Industrial Transportation,Transportation,,Marine Freight & Logistics,Freight & Logistics Services,Transportation,Industrials,,Water Transportation,DK0010244508
0,DE000A1TNNN5,Germany,Europe,Paper Bag and Coated and Treated Paper Manufacturing,Converted Paper Product Manufacturing,Manufacturing,Home Furnishings,Household Durables,Consumer Discretionary,Household Goods and Home Construction,Consumer Durables & Apparel,,Home Furnishings,Household Goods,Cyclical Consumer Products,Consumer Cyclicals,,Paper Manufacturing,DE000A1TNNN5
0,CA0002551095,Canada,Americas,Full-Service Restaurants,Restaurants and Other Eating Places,Accommodation and Food Services,Restaurants,"Hotels, Restaurants & Leisure",Consumer Discretionary,Travel and Leisure,Consumer Services,,Restaurants & Bars,Hotels & Entertainment Services,Cyclical Consumer Services,Consumer Cyclicals,,Food Services and Drinking Places,CA0002551095
0,CNE100002RY5,China,Asia,Residential Property Managers,Activities Related to Real Estate,Real Estate and Rental and Leasing,Real Estate Operating Companies,Real Estate Management & Development,Real Estate,Real Estate Investment and Services Development,Real Estate,,Real Estate Services,Real Estate Operations,Real Estate,Real Estate,,Real Estate,CNE100002RY5
0,US00181T1079,United States of America,Americas,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",Miscellaneous Durable Goods Merchant Wholesalers,Wholesale Trade,Specialized Finance,Diversified Financial Services,Consumer Discretionary,Retailers,Diversified Financials,"Jewelry, Watches, Precious Stones, and Precious Metals",Non-Gold Precious Metals & Minerals,Metals & Mining,Mineral Resources,Basic Materials,,"Merchant Wholesalers, Durable Goods",US00181T1079
0,SE0009268154,Sweden,Europe,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufactur","Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",Manufacturing,Aerospace & Defense,Aerospace & Defense,Telecommunications,Telecommunications Equipment,Capital Goods,,Aerospace & Defense,Aerospace & Defense,Industrial Goods,Industrials,,Computer and Electronic Product Manufacturing,SE0009268154
0,KYG2953R1149,China,Asia,Other Electronic Component Manufacturing,Semiconductor and Other Electronic Component Manufacturing,Manufacturing,Electronic Manufacturing Services,"Electronic Equipment, Instruments & Components",Technology,Technology Hardware & Equipment,Technology Hardware & Equipment,,Electronic Equipment & Parts,Electronic Equipment & Parts,Technology Equipment,Technology,,Computer and Electronic Product Manufacturing,KYG2953R1149
0,SE0011337708,Sweden,Europe,Fats and Oils Refining and Blending,Grain and Oilseed Milling,Manufacturing,Packaged Foods & Meats,Food Products,Consumer Staples,Food Producers,"Food, Beverage & Tobacco",,Food Processing,Food & Tobacco,Food & Beverages,Consumer Non-Cyclicals,,Food Manufacturing,SE0011337708
0,NL0000852564,Netherlands,Europe,Fabricated Pipe and Pipe Fitting Manufacturing,Other Fabricated Metal Product Manufacturing,Manufacturing,Industrial Machinery,Machinery,Industrials,Electronic and Electrical Equipment,Capital Goods,,Industrial Machinery & Equipment,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Goods,Industrials,,Fabricated Metal Product Manufacturing,NL0000852564
0,QA000A0NCQB1,Qatar,Asia,Ready-Mix Concrete Manufacturing,Cement and Concrete Product Manufacturing,Manufacturing,Industrial Conglomerates,Industrial Conglomerates,Industrials,General Industrials,Capital Goods,,Consumer Goods Conglomerates,Consumer Goods Conglomerates,Consumer Goods Conglomerates,Consumer Non-Cyclicals,,Nonmetallic Mineral Product Manufacturing,QA000A0NCQB1
0,US0003602069,United States of America,Americas,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipmen,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing",Manufacturing,Building Products,Building Products,Industrials,Construction and Materials,Capital Goods,Air- Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment,Electrical Components & Equipment,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Goods,Industrials,,Machinery Manufacturing,US0003602069
0,US0003611052,United States of America,Americas,Other Support Activities for Air Transportation,Support Activities for Air Transportation,Transportation and Warehousing,Aerospace & Defense,Aerospace & Defense,Industrials,Aerospace and Defense,Capital Goods,,Aerospace & Defense,Aerospace & Defense,Industrial Goods,Industrials,,Support Activities for Transportation,US0003611052
0,DE0005408116,Germany,Europe,Commercial Banking,Depository Credit Intermediation,Finance and Insurance,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,Financials,Banks,Banks,,Banks,Banking Services,Banking & Investment Services,Financials,,Credit Intermediation and Related Activities,DE0005408116
0,US00258W1080,United States of America,Americas,Consumer Electronics and Appliances Rental,Consumer Goods Rental,Real Estate and Rental and Leasing,Homefurnishing Retail,Specialty Retail,Consumer Discretionary,Consumer Services,Retailing,"Equipment Rental and Leasing, Not Elsewhere Classified",Consumer Lending,Banking Services,Banking & Investment Services,Financials,,Rental and Leasing Services,US00258W1080
0,GB00B9GQVG73,United Kingdom,Europe,Other Measuring and Controlling Device Manufacturing,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",Manufacturing,Auto Parts & Equipment,Auto Components,Industrials,Industrial Engineering,Automobiles & Components,,"Auto, Truck & Motorcycle Parts",Automobiles & Auto Parts,Automobiles & Auto Parts,Consumer Cyclicals,,Computer and Electronic Product Manufacturing,GB00B9GQVG73
0,FR0010557264,France,Europe,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and",Scientific Research and Development Services,"Professional, Scientific, and Technical Services",Pharmaceuticals,Pharmaceuticals,Health Care,Pharmaceuticals and Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",,Pharmaceuticals,Pharmaceuticals,Pharmaceuticals & Medical Research,Healthcare,,"Professional, Scientific, and Technical Services",FR0010557264
0,AU000000ABP9,Australia,Oceania,Lessors of Nonresidential Buildings (except Miniwarehouses),Lessors of Real Estate,Real Estate and Rental and Leasing,Diversified REITs,Equity Real Estate Investment Trusts (REITs),Real Estate,Real Estate Investment Trusts,Real Estate,,Diversified REITs,Residential & Commercial REITs,Real Estate,Real Estate,,Real Estate,AU000000ABP9
0,CH0012221716,Switzerland,Europe,"Power, Distribution, and Specialty Transformer Manufacturing",Electrical Equipment Manufacturing,Manufacturing,Electrical Components & Equipment,Electrical Equipment,Industrials,Electronic and Electrical Equipment,Capital Goods,,Heavy Electrical Equipment,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Goods,Industrials,,"Electrical Equipment, Appliance, and Component Manufacturing",CH0012221716
0,US0028241000,United States of America,Americas,Electromedical and Electrotherapeutic Apparatus Manufacturing,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",Manufacturing,Health Care Equipment,Health Care Equipment & Supplies,Health Care,Medical Equipment and Services,Health Care Equipment & Services,Pharmaceutical Preparations,"Medical Equipment, Supplies & Distribution",Healthcare Equipment & Supplies,Healthcare Services & Equipment,Healthcare,,Computer and Electronic Product Manufacturing,US0028241000
0,US00287Y1091,United States of America,Americas,Pharmaceutical Preparation Manufacturing,Pharmaceutical and Medicine Manufacturing,Manufacturing,Biotechnology,Biotechnology,Health Care,Pharmaceuticals and Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceutical Preparations,Pharmaceuticals,Pharmaceuticals,Pharmaceuticals & Medical Research,Healthcare,,Chemical Manufacturing,US00287Y1091
0,FR0004040608,France,Europe,Portfolio Management and Investment Advice,Other Financial Investment Activities,Finance and Insurance,Specialized Finance,Diversified Financial Services,Financials,Investment Banking and Brokerage Services,Diversified Financials,,Investment Management & Fund Operators,Investment Banking & Investment Services,Banking & Investment Services,Financials,,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",FR0004040608
0,CA00076T1057,Canada,Americas,Other Motor Vehicle Parts Manufacturing,Motor Vehicle Parts Manufacturing,Manufacturing,Auto Parts & Equipment,Auto Components,Consumer Discretionary,Automobiles and Parts,Automobiles & Components,,"Auto, Truck & Motorcycle Parts",Automobiles & Auto Parts,Automobiles & Auto Parts,Consumer Cyclicals,,Transportation Equipment Manufacturing,CA00076T1057
